category	component	file	lines	current_effect	roster_risk	proposed_handling
failure	login error	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3892-3896	clears add/login and currentBots	automatic substitute becomes possible	retain desired GUID and set DEGRADED
admin	remove	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	4290-4301	deletes all bot events and logs out	can bypass desired roster	guard and require explicit versioned admin operation
admin	reset	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	4715-4721	deletes all non-temporary events	could indirectly clear runtime identity state	roster tables untouched; reset cannot mutate membership
async	login/logout operations	src/modules/PlayerBots/playerbot/PlayerbotLoginMgr.cpp	294-357	sets/clears add and logs in/out	async mode would rotate too	constrain to desired GUID set and protect logout
async	pool load	src/modules/PlayerBots/playerbot/PlayerbotLoginMgr.cpp	396-457	loads all RNDBOT characters	all stock becomes selection pool	availability validation may read pool; identity comes only from roster
async	criteria	src/modules/PlayerBots/playerbot/PlayerbotLoginMgr.cpp	502-550	maxbots/logoff/offline/group decide desirability	population and expiry can evict roster	criteria cannot alter roster member login policy
async	queue balance	src/modules/PlayerBots/playerbot/PlayerbotLoginMgr.cpp	609-704	queues login/logout based on space	population replacement/logout	roster-specific queue with no substitute
group	master normal logout	src/game/WorldSession.cpp	802-835	evicts machine-driven group members then player	direct grouped-bot removal	module-neutral veto preserves entire group for roster policy
group	two-member disband	src/game/Group/Group.cpp	444-524	disbands group when pre-remove count is at most minimum	skipping only bot eviction still removes singleton rosterbot	veto complete WorldSession group teardown, not only eviction loop
group	master binding	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	3813-3889	sets/clears AI master and strategies	does not itself persist roster	retain; separate master state from roster membership
logout	AI command	src/modules/PlayerBots/playerbot/PlayerbotAI.cpp	1587-1607	player command can set shouldLogOut	non-admin roster bot can be logged out	require explicit authorized policy for rosterbots
logout	session worker	src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp	333-395	executes shouldLogOut	generic path can bypass population guard	roster-aware authorization or cancellation
performance	activity scale	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	794-872	adjusts activity percentage	no identity change today	retain as independent throttle
performance	activity gate	src/modules/PlayerBots/playerbot/PlayerbotAI.cpp	6226-6370	prioritized AI tick allowance	no identity change today	retain; assert it cannot logout/remove/replace
factory	startup delete	src/modules/PlayerBots/playerbot/RandomPlayerbotFactory.cpp	548-712	bot_delete, orphan and temporary cleanup	can delete desired character/account	fail-closed guard for desired GUIDs before destructive action
factory	auto create	src/modules/PlayerBots/playerbot/RandomPlayerbotFactory.cpp	733-780	loads or creates RNDBOT accounts	new stock is not an authorized roster expansion	creation never changes desired roster automatically
delete	character deletion	src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp	2851-2865	logs out and deletes character	could erase desired character	deny until explicit roster remove/replace committed
delete	account cleanup	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	4924-4955	deletes empty generated RNDBOT account	account lifecycle can cross roster state	check desired roster and audit
schema	event table	src/modules/PlayerBots/sql/characters/ai_playerbot_random_bots.sql	1-15	auto id plus nonunique indexes	no GUID/event uniqueness and expiry semantics	keep for events; add separate roster tables
schema	composite index	sql/character_updates/20260708055500_ai_playerbot_random_bots_index.sql	1-11	adds nonunique owner/bot/event index	performance only; not identity uniqueness	no change to conclusion
existing	PinnedBots config	src/modules/PlayerBots/playerbot/PlayerbotAIConfig.cpp	294-307	parses character names into memory	name-based and not persistent/audited	do not reuse as roster storage
existing	PinnedBots behavior	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	2173-2215,2489-2494	resolves names, tries login, skips relocation	no timed-logout exemption; conditional ensure	replace with GUID roster
existing	always/free-alt	src/modules/PlayerBots/playerbot/PlayerbotAIConfig.cpp	1009-1064	excludes RNDBOT prefix and loads non-RNDBOT always bots	not applicable	keep separate
existing	external manager	src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.h	224-251	in-memory exemption for test harness	not durable production state	keep separate; do not treat as roster
manual SQL	delete marker	src/modules/PlayerBots/sql/other/delete_randombots.sql	1-2	requests partial RNDBOT deletion	destructive bypass	operationally prohibit/guard desired roster
manual SQL	delete all marker	src/modules/PlayerBots/sql/other/delete_all_randombots.sql	1-2	requests full RNDBOT deletion	destructive bypass	operationally prohibit/guard desired roster
manual SQL	merge scripts	src/modules/PlayerBots/sql/other/database_merge_classic.sql;database_merge_tbc.sql;database_merge_wotlk.sql	42-43	copies event table	can import duplicate/obsolete add rows	never import roster implicitly
