# OPS-009-R1 sanitized semantic matrix; no configuration values or secrets.
# Counts: KEEP=89 INTENTIONAL_CHANGE=25 DEPRECATED_OR_REMOVED=10 MACHINE_SECRET=6 TOTAL=130
# This line is prose: nothing parses it, and it had already drifted from the
# rows below once. The counts that are enforced are the literals in
# ops/config/test-config-provenance.sh's assert_matrix; keep the two in step.
service	key	classification	canonical_source	evidence
mangosd	BattleGround.Rate.Reputation.WS	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Bones.ExpireMinutes	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	CharacterDatabase.Info	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
mangosd	Database.AutoUpdate.Enabled	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-db-init-owns-application
mangosd	Database.AutoUpdate.Path	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	DataDir	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	Death.Ghost.RunSpeed.World	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	GM.LoginState	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	GM.StartLevel	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	GM.StartOnGMIsland	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	HonorDir	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	Leech.Amount	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	Leech.DungeonOnly	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	Leech.Enable	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	Leech.PvEOnly	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	Leech.RealPlayersOnly	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	Leech.SoloOnly	DEPRECATED_OR_REMOVED	mangosd.overlay.conf	core-98-module-owner
mangosd	LoginDatabase.Info	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
mangosd	LogsDatabase.Info	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
mangosd	LogsDir	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	PDumpDir	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	PidFile	INTENTIONAL_CHANGE	mangosd.overlay.conf	reviewed-compose-path
mangosd	Rate.Drop.Item.Epic	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Drop.Item.Legendary	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Drop.Item.Rare	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Drop.Item.Uncommon	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Drop.Money	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Energy	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Focus	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Health	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Loyalty	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Mana	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Mining.Amount	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Mining.Next	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Rage.Income	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Reputation.Gain	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Reputation.LowLevel.Kill	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Reputation.LowLevel.Quest	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Rest.InGame	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Rest.Offline.InTavernOrCity	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Rest.Offline.InWilderness	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.Skill.Discovery	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.XP.Explore	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.XP.Kill	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Rate.XP.Quest	INTENTIONAL_CHANGE	mangosd.overlay.conf	funserver-test-quest-progression-x4
mangosd	Rate.Talent	INTENTIONAL_CHANGE	mangosd.overlay.conf	funserver-test-player-and-bot-talents-x2
mangosd	SkillChance.Green	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillChance.Grey	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillChance.Yellow	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillGain.Crafting	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillGain.Defense	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillGain.Gathering	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkillGain.Weapon	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SkipCinematics	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	SoloDungeonRepopAlive.Enable	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	Suspicious.Movement.MovementSpeedThreshold	KEEP	mangosd.overlay.conf	verified-sanitized-baseline
mangosd	WorldDatabase.Info	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
realmd	LoginDatabaseInfo	MACHINE_SECRET	protected-machine-overlay	secret-not-versioned
realmd	LogsDir	INTENTIONAL_CHANGE	realmd.overlay.conf	reviewed-compose-path
realmd	PatchesDir	INTENTIONAL_CHANGE	realmd.overlay.conf	reviewed-compose-path
realmd	PidFile	INTENTIONAL_CHANGE	realmd.overlay.conf	reviewed-compose-path
